OBJECTID,WPITEM,WPITMSEG,ITMSEG,FINPROJ,RDWYLOC,BEGSECPT,ENDSECPT,RDWYSIDE,RDWYID,ITSEGMAN,WPWKMIX,WPITSTAT,MANDISDV,CONTYDOT,WPPHAZGP,WPPHAZTP,FINPRJSQ,FISCALYR,PRPLCCDE,PRPLCODE,CONTYNAM,WPWKMIXN,WPITSTNM,LOCALFULL,LOC_ERROR,Shape__Length,WPPHAZTP_DESC,Normalized_Length,PHASE_WEIGHT,risk_proxy
36688,251688,1,2516881,25168815201,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36689,251688,1,2516881,25168815201,7,0.01,0.133,C,87200119,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,198.74087221851246,Active Construction,0.01658618987181515,1.0,0.01658618987181515
36698,251688,1,2516881,25168815202,21,0.102,0.18700001,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,130.26393531132325,Active Construction,0.010871353941467697,1.0,0.010871353941467697
36723,251688,1,2516881,25168815208,21,0.102,0.18700001,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,08,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,130.26393531132325,Active Construction,0.010871353941467697,1.0,0.010871353941467697
36741,251688,1,2516881,25168815201,13,11.68400002,13.04800034,L,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2024,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,2177.7983865405636,Active Construction,0.18175112717619346,1.0,0.18175112717619346
36745,251688,1,2516881,25168815202,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36749,251688,1,2516881,25168815202,10,12.27999973,12.45499992,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,279.35460800237564,Active Construction,0.023313918864155493,1.0,0.023313918864155493
36757,251688,1,2516881,25168815202,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2024,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36758,251688,1,2516881,25168815208,11,12.45499992,12.65499973,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,08,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,319.3439257060065,Active Construction,0.026651281777343803,1.0,0.026651281777343803
36762,251688,1,2516881,25168815201,12,12.65499973,13.04800034,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,627.4630437466387,Active Construction,0.05236578195996961,1.0,0.05236578195996961
